index,Salary
0,0.58074798
1,0.381524427
2,0.712810918
3,0.695953007
4,0.568248455
5,0.661570874
6,0.502409321
7,0.693333772
8,0.674881637
9,0.536049347
10,0.61885799
11,0.706136235
12,0.487934686
13,0.437304044
14,0.619653413
15,0.503200272
16,0.708989558
17,0.546465779
18,0.398704804
19,0.704436503
20,0.469600994
21,0.691895762
22,0.705969015
23,0.700485142
24,0.539988674
25,0.623861182
26,0.657013167
27,0.636122307
28,0.713264864
29,0.627930163
30,0.669557987
31,0.505258583
32,0.562609891
33,0.649944278
34,0.653165367
35,0.476724882
36,0.629994438
37,0.444499412
38,0.697044984
39,0.608604752
40,0.680657086
41,0.424259975
42,0.610914337
43,0.434436583
44,0.461929796
45,0.663145579
46,0.424296578
47,0.574916563
48,0.684543132
49,0.687653086
50,0.696699027
51,0.600058068
52,0.589359412
53,0.576805722
54,0.710853641
55,0.58590237
56,0.532634103
57,0.689750574
58,0.434202809
59,0.553622329
60,0.645669986
61,0.712077555
62,0.434691524
63,0.648110184
64,0.536335154
65,0.511246993
66,0.591588243
67,0.576592914
68,0.511453069
69,0.694048356
70,0.453137582
71,0.71703878
72,0.422284865
73,0.59485066
74,0.595392133
75,0.582414407
76,0.598884868
77,0.702805466
78,0.709116207
79,0.600589182
80,0.66561339
81,0.543758245
82,0.643177563
83,0.455554574
84,0.684345913
85,0.665368689
86,0.675271383
87,0.562501007
88,0.445436638
89,0.683562048
90,0.711895019
91,0.668604626
92,0.615127148
93,0.650715109
94,0.641536596
95,0.614953898
96,0.691565481
97,0.443122217
98,0.579753106
99,0.537393746
100,0.675042782
101,0.459777906
102,0.498011544
103,0.658040955
104,0.570882445
105,0.703868423
106,0.698748792
107,0.602719738
108,0.436606158
109,0.57598945
110,0.615977385
111,0.45987469
112,0.689235004
113,0.487798969
114,0.669941164
115,0.61042554
116,0.610853312
117,0.574922033
118,0.659974445
119,0.653822866
120,0.613041537
121,0.348708253
122,0.565282381
123,0.654342142
124,0.577743358
125,0.701818018
126,0.712331517
127,0.609796261
128,0.422439277
129,0.36118132
130,0.366888894
131,0.67986347
132,0.622597185
133,0.426786083
134,0.659472813
135,0.410566151
136,0.490303849
137,0.677880924
138,0.714905095
139,0.661612283
140,0.474365768
141,0.646342119
142,0.684915182
143,0.71686569
144,0.642780212
145,0.628092455
146,0.660512415
147,0.695330627
148,0.721169672
149,0.428846511
150,0.692324282
151,0.700640005
152,0.687995059
153,0.579780356
154,0.538651647
155,0.417040853
156,0.615782929
157,0.587538792
158,0.585094446
159,0.714460182
160,0.646355465
161,0.696931283
162,0.602255817
163,0.646845938
164,0.707101752
165,0.457427994
166,0.43724923
167,0.626860477
168,0.52202414
169,0.495308238
170,0.698958086
171,0.701273068
172,0.704330684
173,0.689305912
174,0.710534527
175,0.431739625
176,0.658308954
177,0.687782982
178,0.570999736
179,0.510025396
180,0.677643449
181,0.594473729
182,0.571175247
183,0.39473407
184,0.471749731
185,0.672918263
186,0.567635554
187,0.67931562
188,0.671484824
189,0.477271277
190,0.707913007
191,0.466245032
192,0.665643256
193,0.456043015
194,0.579529497
195,0.520544828
196,0.465660233
197,0.590201016
198,0.471687845
199,0.678322675
200,0.463948629
201,0.537025255
202,0.521979041
203,0.578950424
204,0.478147464
205,0.528951357
206,0.630273831
207,0.574293873
208,0.512888417
209,0.447901532
210,0.725856224
211,0.444248372
212,0.422598802
213,0.350365388
214,0.466072983
215,0.69003475
216,0.595084982
217,0.493837009
218,0.68898351
219,0.663071719
220,0.703772139
221,0.57380621
222,0.589593304
223,0.564448167
224,0.703544315
225,0.688224273
226,0.534914409
227,0.604535642
228,0.510289258
229,0.700090044
230,0.57111723
231,0.424721089
232,0.605440253
233,0.708699836
234,0.410622257
235,0.509785674
236,0.420715997
237,0.47587535
238,0.696459911
239,0.708415232
240,0.71712707
241,0.719324556
242,0.434247211
243,0.454963357
244,0.388715789
245,0.469349478
246,0.668571125
247,0.702364065
248,0.711855021
249,0.699622083
250,0.486654164
251,0.70741566
252,0.710283516
253,0.666519421
254,0.500029004
255,0.593672641
256,0.423344981
257,0.658873123
258,0.575844419
259,0.510685981
260,0.602198895
261,0.593942085
262,0.449506281
263,0.637591983
264,0.579273378
265,0.551191179
266,0.648830358
267,0.443008803
268,0.502668401
269,0.441613927
270,0.694815769
271,0.592448248
272,0.548972726
273,0.430548359
274,0.683817894
275,0.645986864
276,0.715154473
277,0.580196088
278,0.677972651
279,0.567266662
280,0.479928029
281,0.713296517
282,0.411154096
283,0.695646734
284,0.672408394
285,0.586488512
286,0.602113263
287,0.511630328
288,0.718268996
289,0.404856164
290,0.441957531
291,0.419923661
292,0.667245308
293,0.652172196
294,0.65849872
295,0.419775539
296,0.610242699
297,0.651604785
298,0.648571476
299,0.623760671
300,0.475111875
301,0.505114255
302,0.603480097
303,0.396923519
304,0.652379152
305,0.711138378
306,0.69200166
307,0.653749092
308,0.663672725
309,0.433274813
310,0.656742216
311,0.700800928
312,0.403783498
313,0.685891488
314,0.615327804
315,0.431338724
316,0.605660885
317,0.585521669
318,0.549613059
319,0.69656975
320,0.719592596
321,0.69631448
322,0.649844649
323,0.69623212
324,0.660211931
325,0.691967611
326,0.525144456
327,0.445692121
328,0.649880675
329,0.436736835
330,0.688836429
331,0.453634382
332,0.436770571
333,0.653338324
334,0.710962262
335,0.624086952
336,0.633094515
337,0.657223352
338,0.588559931
339,0.699573461
340,0.527804847
341,0.473039955
342,0.536497584
343,0.716601464
344,0.44566246
345,0.598874989
346,0.609298658
347,0.569797438
348,0.68325931
349,0.512688182
350,0.707451047
351,0.626274567
352,0.569247512
353,0.531621536
354,0.683927481
355,0.70681113
356,0.419340393
357,0.579512416
358,0.611798867
359,0.528471124
360,0.72545741
361,0.468794376
362,0.521128658
363,0.678762685
364,0.735307246
365,0.436893884
366,0.689347929
367,0.632099036
368,0.709265349
369,0.689497712
370,0.598312926
371,0.592043447
372,0.683446405
373,0.704102447
374,0.633512112
375,0.716090178
376,0.651472096
377,0.646777242
378,0.488475174
379,0.453465383
380,0.645423373
381,0.477939534
382,0.466177179
383,0.602725786
384,0.710834993
385,0.57267981
386,0.608001614
387,0.524513592
388,0.423179927
389,0.67170067
390,0.557410633
391,0.553480387
392,0.433000182
393,0.56330135
394,0.60855766
395,0.475016224
396,0.69883073
397,0.717509844
398,0.623481476
399,0.610176401
400,0.430578593
401,0.676243742
402,0.521058386
403,0.542783016
404,0.564700804
405,0.667122393
406,0.671558668
407,0.498872533
408,0.586301329
409,0.631783822
410,0.686283067
411,0.670362958
412,0.731614256
413,0.606840136
414,0.409229819
415,0.69576546
416,0.615397814
417,0.470602489
418,0.547883472
419,0.708124735
420,0.682960113
421,0.611855766
422,0.558845043
423,0.601109059
424,0.707641572
425,0.454326971
426,0.690875717
427,0.447586252
428,0.615196918
429,0.711404211
430,0.661522995
431,0.546059433
432,0.698138564
433,0.565806779
434,0.487385151
435,0.669897629
436,0.710462787
437,0.651869233
438,0.432465898
439,0.675669655
440,0.605287782
441,0.712986064
442,0.604107463
443,0.590125547
444,0.540471884
445,0.726181974
446,0.569837055
447,0.524836769
448,0.665600089
449,0.680592167
450,0.724787059
451,0.651998558
452,0.481865625
453,0.572610529
454,0.701538899
455,0.685273782
456,0.430542948
457,0.649946203
458,0.624543671
459,0.607362499
460,0.634930796
461,0.654472092
462,0.416137805
463,0.588899261
464,0.448016266
465,0.432869506
466,0.708550479
467,0.653745858
468,0.708379332
469,0.530861677
470,0.671029174
471,0.739255499
472,0.675568418
473,0.558826272
474,0.67006471
475,0.531825609
476,0.414039453
477,0.669831031
478,0.648751645
479,0.660530255
480,0.558010294
481,0.601479736
482,0.505298574
483,0.615790896
484,0.560351377
485,0.663265053
486,0.468489713
487,0.667973777
488,0.431245448
489,0.705615656
490,0.63803589
